model,channel,trial,abs_error,align_count
Baseline Model,AI channel,1,0.1860517658569958,2
Baseline Model,AI channel,2,0.025669741545924607,2
Baseline Model,AI channel,3,0.014699982367968212,17
Baseline Model,AI channel,4,0.2715100598533138,1
Baseline Model,AI channel,5,0.0507206314284514,32
Baseline Model,AI channel,7,0.10975022079803387,8
Baseline Model,AI channel,8,0.022232223128655138,41
Baseline Model,AI channel,9,0.09980573222997197,6
Baseline Model,AI channel,11,0.16798142232286917,4
Baseline Model,AI channel,12,0.03529601453651854,3
Baseline Model,AI channel,13,0.031188992395744353,11
Baseline Model,AI channel,14,0.055214423460136164,3
Baseline Model,AI channel,15,0.13679910588565625,10
Baseline Model,AI channel,16,0.04398123278439914,29
Baseline Model,AI channel,17,0.008641279277054714,5
Baseline Model,AI channel,18,0.018747615951753338,22
Baseline Model,AI channel,19,0.0867637046820322,5
Baseline Model,AI channel,20,0.03296107067872356,21
Baseline Model,AI channel,21,0.10667991890774253,3
Baseline Model,AI channel,22,0.12595546000985852,14
Baseline Model,AI channel,23,0.13487825170904577,11
Baseline Model,AI channel,24,0.04211313060582411,8
Baseline Model,AI channel,25,0.07777717427730713,2
Baseline Model,AI channel,26,0.1873872381406676,4
Baseline Model,AI channel,27,0.031196475601294682,7
Baseline Model,AI channel,28,0.04258634165049424,12
Baseline Model,AI channel,29,0.41158810369791765,2
Baseline Model,AI channel,30,0.3853832027774303,2
Baseline Model,Self channel,1,0.10405992104116568,2
Baseline Model,Self channel,2,0.008276894660468992,2
Baseline Model,Self channel,3,0.03137158603694923,17
Baseline Model,Self channel,4,0.011176267207775425,1
Baseline Model,Self channel,5,0.11758004684034606,32
Baseline Model,Self channel,7,0.010642467861438132,8
Baseline Model,Self channel,8,0.09823319057385116,41
Baseline Model,Self channel,9,0.2263611079299933,6
Baseline Model,Self channel,11,0.10720996909751213,4
Baseline Model,Self channel,12,0.06350406413653342,3
Baseline Model,Self channel,13,0.04721985094007902,11
Baseline Model,Self channel,14,0.14190372895467152,3
Baseline Model,Self channel,15,0.22585861766795368,10
Baseline Model,Self channel,16,0.051132631445783394,29
Baseline Model,Self channel,17,0.1296296793746472,5
Baseline Model,Self channel,18,0.10205797035822095,22
Baseline Model,Self channel,19,0.1397790894205052,5
Baseline Model,Self channel,20,0.12091932155050877,21
Baseline Model,Self channel,21,0.12229993650000942,3
Baseline Model,Self channel,22,0.036724762253827925,14
Baseline Model,Self channel,23,0.10713087630701379,11
Baseline Model,Self channel,24,0.05592859484753765,8
Baseline Model,Self channel,25,0.10587947711220125,2
Baseline Model,Self channel,26,0.17261437623672493,4
Baseline Model,Self channel,27,0.014409481926438872,7
Baseline Model,Self channel,28,0.006272299179973739,12
Baseline Model,Self channel,29,0.16611863879545297,2
Baseline Model,Self channel,30,0.0522042621024007,2
Reformulated Model,AI channel,1,0.16097314540502827,2
Reformulated Model,AI channel,2,0.05293276694511939,2
Reformulated Model,AI channel,3,0.047633256697733106,17
Reformulated Model,AI channel,4,0.30996045884038936,1
Reformulated Model,AI channel,5,0.026530337808591153,32
Reformulated Model,AI channel,7,0.12438931289256572,8
Reformulated Model,AI channel,8,0.002250276170905785,41
Reformulated Model,AI channel,9,0.12864248929474825,6
Reformulated Model,AI channel,11,0.14875881903162014,4
Reformulated Model,AI channel,12,0.05581695490793703,3
Reformulated Model,AI channel,13,0.00021419405105049805,11
Reformulated Model,AI channel,14,0.01650966537659959,3
Reformulated Model,AI channel,15,0.10917645991315661,10
Reformulated Model,AI channel,16,0.02058514515964549,29
Reformulated Model,AI channel,17,0.023319662841259525,5
Reformulated Model,AI channel,18,0.011523151711978263,22
Reformulated Model,AI channel,19,0.08898997386744395,5
Reformulated Model,AI channel,20,0.010645786288872916,21
Reformulated Model,AI channel,21,0.12694399311688692,3
Reformulated Model,AI channel,22,0.14169176421297575,14
Reformulated Model,AI channel,23,0.12579251085106058,11
Reformulated Model,AI channel,24,0.06725603032891558,8
Reformulated Model,AI channel,25,0.08632976796375236,2
Reformulated Model,AI channel,26,0.18026235793024692,4
Reformulated Model,AI channel,27,0.015299342594338627,7
Reformulated Model,AI channel,28,0.06161767383010275,12
Reformulated Model,AI channel,29,0.4387363932520611,2
Reformulated Model,AI channel,30,0.3463257273130822,2
Reformulated Model,Self channel,1,0.011191059616153742,2
Reformulated Model,Self channel,2,0.09398023369681097,2
Reformulated Model,Self channel,3,0.07784478779635484,17
Reformulated Model,Self channel,4,0.09850200995105007,1
Reformulated Model,Self channel,5,0.008781861143495773,32
Reformulated Model,Self channel,7,0.09447728150689982,8
Reformulated Model,Self channel,8,0.005789132389513285,41
Reformulated Model,Self channel,9,0.1196293631440708,6
Reformulated Model,Self channel,11,0.02754551794512161,4
Reformulated Model,Self channel,12,0.01094161004691696,3
Reformulated Model,Self channel,13,0.03788530768843512,11
Reformulated Model,Self channel,14,0.044158783671844226,3
Reformulated Model,Self channel,15,0.14178001447786526,10
Reformulated Model,Self channel,16,0.03474977585099759,29
Reformulated Model,Self channel,17,0.023088072375472724,5
Reformulated Model,Self channel,18,0.013264193159761128,22
Reformulated Model,Self channel,19,0.06953727344543592,5
Reformulated Model,Self channel,20,0.0358905509711378,21
Reformulated Model,Self channel,21,0.03623154696645681,3
Reformulated Model,Self channel,22,0.10283770914057688,14
Reformulated Model,Self channel,23,0.04229687865753429,11
Reformulated Model,Self channel,24,0.1244969762487822,8
Reformulated Model,Self channel,25,0.17467774623619237,2
Reformulated Model,Self channel,26,0.10676314158126343,4
Reformulated Model,Self channel,27,0.05525310800969829,7
Reformulated Model,Self channel,28,0.058364342497862376,12
Reformulated Model,Self channel,29,0.11514654606045116,2
Reformulated Model,Self channel,30,0.09112872904749714,2
