condition,target,trial,model,mean,se
1,ai,0,experiment data,0.62,0.027884601851347328
1,ai,0,baseline model,0.62,
1,ai,0,extended model,0.62,
1,ai,1,experiment data,0.675,0.02789374884252377
1,ai,1,baseline model,0.6290813051829276,
1,ai,1,extended model,0.6188700591940558,
1,ai,2,experiment data,0.685,0.026544148822945774
1,ai,2,baseline model,0.6458225866127998,
1,ai,2,extended model,0.6378195305187568,
1,ai,3,experiment data,0.73,0.026572964625340385
1,ai,3,baseline model,0.6717808846774264,
1,ai,3,extended model,0.674623210950825,
1,ai,4,experiment data,0.595,0.0334191073293988
1,ai,4,baseline model,0.5606160872805812,
1,ai,4,extended model,0.5586472919415831,
1,ai,5,experiment data,0.725,0.025
1,ai,5,baseline model,0.6586309368315716,
1,ai,5,extended model,0.6642293300116875,
1,ai,6,experiment data,0.64,0.035109159221270024
1,ai,6,baseline model,0.6396832935235516,
1,ai,6,extended model,0.637224314358561,
1,ai,7,experiment data,0.655,0.028473044897135355
1,ai,7,baseline model,0.6445611913759924,
1,ai,7,extended model,0.6321043297717257,
1,ai,8,experiment data,0.72,0.027330180671012835
1,ai,8,baseline model,0.695609597409121,
1,ai,8,extended model,0.7086176399408921,
1,ai,9,experiment data,0.545,0.031695296760476846
1,ai,9,baseline model,0.555421597511478,
1,ai,9,extended model,0.5631994529202486,
1,ai,10,experiment data,0.505,0.03606258731818381
1,ai,10,baseline model,0.48723183582685137,
1,ai,10,extended model,0.48755398633344993,
1,ai,11,experiment data,0.625,0.026963694411681248
1,ai,11,baseline model,0.595749108915746,
1,ai,11,extended model,0.5937511350548068,
1,ai,12,experiment data,0.605,0.032802750009157236
1,ai,12,baseline model,0.6236778672373277,
1,ai,12,extended model,0.6231458837205696,
1,ai,13,experiment data,0.695,0.02504078306136873
1,ai,13,baseline model,0.6547255934432085,
1,ai,13,extended model,0.6512060777841125,
1,ai,14,experiment data,0.695,0.02400042516630207
1,ai,14,baseline model,0.6528130000469679,
1,ai,14,extended model,0.6513595138814056,
1,ai,15,experiment data,0.55,0.030304576336566323
1,ai,15,baseline model,0.5310413297589189,
1,ai,15,extended model,0.5452623803553694,
1,ai,16,experiment data,0.72,0.028248171333264543
1,ai,16,baseline model,0.641404691311762,
1,ai,16,extended model,0.6516618508704368,
1,ai,17,experiment data,0.64,0.03362457798839948
1,ai,17,baseline model,0.639329242661326,
1,ai,17,extended model,0.6324567792834878,
1,ai,18,experiment data,0.695,0.027001511673479722
1,ai,18,baseline model,0.6806158907679913,
1,ai,18,extended model,0.6857030446010529,
1,ai,19,experiment data,0.64,0.03437488404433132
1,ai,19,baseline model,0.6682302002115253,
1,ai,19,extended model,0.6604075202907648,
1,ai,20,experiment data,0.715,0.025763841138387766
1,ai,20,baseline model,0.6760388207144302,
1,ai,20,extended model,0.6796917473763128,
1,ai,21,experiment data,0.585,0.031630842607835045
1,ai,21,baseline model,0.562846070543439,
1,ai,21,extended model,0.5703832610923102,
1,ai,22,experiment data,0.5,0.034992710611188256
1,ai,22,baseline model,0.4974479277985017,
1,ai,22,extended model,0.49367514833233306,
1,ai,23,experiment data,0.505,0.03461891661729323
1,ai,23,baseline model,0.4551939248590536,
1,ai,23,extended model,0.45919333020689734,
1,ai,24,experiment data,0.6,0.029450754468697573
1,ai,24,baseline model,0.5501140424378466,
1,ai,24,extended model,0.55174171972501,
1,ai,25,experiment data,0.49,0.03568570284799086
1,ai,25,baseline model,0.46286610231292163,
1,ai,25,extended model,0.4680963480201063,
1,ai,26,experiment data,0.48,0.03260774917289522
1,ai,26,baseline model,0.4276921610563249,
1,ai,26,extended model,0.42623122318821544,
1,ai,27,experiment data,0.445,0.03520349008671888
1,ai,27,baseline model,0.4355450992165257,
1,ai,27,extended model,0.4464483296766084,
1,ai,28,experiment data,0.405,0.03772213121860255
1,ai,28,baseline model,0.3974184871155824,
1,ai,28,extended model,0.41106023318629764,
1,ai,29,experiment data,0.525,0.03659625273556998
1,ai,29,baseline model,0.5271811406756282,
1,ai,29,extended model,0.5199690199759968,
1,ai,30,experiment data,0.44,0.03749829928116196
1,ai,30,baseline model,0.3963114951369212,
1,ai,30,extended model,0.4040786620494008,
1,self,0,experiment data,0.49,0.03422613871631699
1,self,0,baseline model,0.49,
1,self,0,extended model,0.49,
1,self,1,experiment data,0.5,0.032732683535398856
1,self,1,baseline model,0.4958782748812607,
1,self,1,extended model,0.5150666126703477,
1,self,2,experiment data,0.46,0.02799416848895062
1,self,2,baseline model,0.48475622394375806,
1,self,2,extended model,0.502793201292194,
1,self,3,experiment data,0.505,0.03233277227930363
1,self,3,baseline model,0.5043862829476098,
1,self,3,extended model,0.5413591695235512,
1,self,4,experiment data,0.44,0.03077237032648289
1,self,4,baseline model,0.4384917213178903,
1,self,4,extended model,0.4730447400665058,
1,self,5,experiment data,0.57,0.03353341312658714
1,self,5,baseline model,0.4930364262819167,
1,self,5,extended model,0.558569824228708,
1,self,6,experiment data,0.485,0.03455991543829413
1,self,6,baseline model,0.46263743158493403,
1,self,6,extended model,0.48992811907725786,
1,self,7,experiment data,0.445,0.0297008898375597
1,self,7,baseline model,0.48443543483665263,
1,self,7,extended model,0.48633898035819223,
1,self,8,experiment data,0.58,0.033836340806648615
1,self,8,baseline model,0.5064802788045915,
1,self,8,extended model,0.582073495559716,
1,self,9,experiment data,0.49,0.03191186843384098
1,self,9,baseline model,0.4386905949438954,
1,self,9,extended model,0.47500496128740244,
1,self,10,experiment data,0.455,0.032490186901554745
1,self,10,baseline model,0.41861782535214637,
1,self,10,extended model,0.4243840127017615,
1,self,11,experiment data,0.47,0.03083861877846129
1,self,11,baseline model,0.45321115374438015,
1,self,11,extended model,0.4417684987165134,
1,self,12,experiment data,0.435,0.03258427065130583
1,self,12,baseline model,0.46694220733331393,
1,self,12,extended model,0.45379658672542095,
1,self,13,experiment data,0.475,0.03214285714285715
1,self,13,baseline model,0.49102332049096176,
1,self,13,extended model,0.48512419124998835,
1,self,14,experiment data,0.495,0.029872176666180684
1,self,14,baseline model,0.5069664628359934,
1,self,14,extended model,0.49974143189618625,
1,self,15,experiment data,0.46,0.031428571428571424
1,self,15,baseline model,0.4509550903309072,
1,self,15,extended model,0.45894856409649903,
1,self,16,experiment data,0.515,0.033813715367270354
1,self,16,baseline model,0.49215106645730117,
1,self,16,extended model,0.5195375041612074,
1,self,17,experiment data,0.46,0.03452298849598449
1,self,17,baseline model,0.4723087763924743,
1,self,17,extended model,0.4797208333727352,
1,self,18,experiment data,0.54,0.03452298849598448
1,self,18,baseline model,0.4952959997088983,
1,self,18,extended model,0.5199789011004389,
1,self,19,experiment data,0.45,0.034992710611188256
1,self,19,baseline model,0.4783956907527763,
1,self,19,extended model,0.4754304121345521,
1,self,20,experiment data,0.53,0.03398679215248663
1,self,20,baseline model,0.5156981655174672,
1,self,20,extended model,0.5347600823967705,
1,self,21,experiment data,0.47,0.03165502829451477
1,self,21,baseline model,0.4503394818028433,
1,self,21,extended model,0.45809735781026734,
1,self,22,experiment data,0.445,0.03447122432003901
1,self,22,baseline model,0.4457283964605026,
1,self,22,extended model,0.4404724108271779,
1,self,23,experiment data,0.425,0.03292694449033175
1,self,23,baseline model,0.42377357308238645,
1,self,23,extended model,0.4143160139386356,
1,self,24,experiment data,0.435,0.03411415410359872
1,self,24,baseline model,0.4637730739509965,
1,self,24,extended model,0.4457148315105559,
1,self,25,experiment data,0.42,0.03229329872987805
1,self,25,baseline model,0.41430755255981305,
1,self,25,extended model,0.3996586427675687,
1,self,26,experiment data,0.49,0.03347249861102853
1,self,26,baseline model,0.4553579314822501,
1,self,26,extended model,0.43275479492097063,
1,self,27,experiment data,0.41,0.037634113920912836
1,self,27,baseline model,0.4451008866012872,
1,self,27,extended model,0.42162719871984244,
1,self,28,experiment data,0.365,0.03725943244498564
1,self,28,baseline model,0.4338762545672737,
1,self,28,extended model,0.4203433015237581,
1,self,29,experiment data,0.41,0.03407674411964732
1,self,29,baseline model,0.46287394348204897,
1,self,29,extended model,0.4240684337035266,
1,self,30,experiment data,0.33,0.034582052676886306
1,self,30,baseline model,0.4084538820131511,
1,self,30,extended model,0.38761596127658854,
