iteration,aiconf_mse,aiconf_r2,aiconf_adj_r2,selfconf_mse,selfconf_r2,selfconf_adj_r2
1,0.0013841871450827885,0.8332470241133445,0.8205592976871858,0.0018003139519992759,0.3837600097775099,0.3368721844344944
2,0.0014441802740845992,0.7580017605869744,0.7395888510664181,0.0010693352190515267,0.5145272414528579,0.47758909678079287
3,0.001393115858971453,0.800405461165326,0.7852189201670356,0.0013161467737466792,0.454967684715898,0.4134978346399337
4,0.0017882272819877555,0.7513016489033744,0.7323789482764573,0.0012849883475979863,0.4571803585087093,0.4158788640474155
5,0.001564846839739806,0.8035985925568535,0.7886550072079185,0.0016726446633037054,0.39468487689472087,0.34862829144105845
6,0.002134749645324469,0.721193242152414,0.6999796844900976,0.0017214371369132244,0.3850809343589866,0.3382936141471704
7,0.001892357048323994,0.7575429685094188,0.7390951508960051,0.0013582907101494651,0.4558689475140947,0.4144676717814715
8,0.0012404186372202849,0.8186608089907527,0.8048632618487447,0.0010508998639409252,0.5024137525849515,0.4645539294120674
9,0.002215045836275698,0.7038679851150305,0.6813362013737828,0.0015666637009166663,0.41260245529508266,0.3679091638501434
10,0.0015050308611827773,0.7765050443387408,0.7594999933645146,0.0009705695336348308,0.565540657536004,0.5324839684354825
11,0.0018234911841461848,0.6941655944040612,0.6708955852826312,0.0016421543499156948,0.43460722786587247,0.3915882125947976
12,0.0018124341515477528,0.734327953340199,0.7141137758769531,0.0011873202945662346,0.45639403004580203,0.41503270624493915
13,0.001460910823021042,0.744920269374463,0.7255120290007808,0.0010987413062759231,0.5266976004771518,0.49068546138302194
14,0.0018341031854005308,0.696113966276339,0.672992202840843,0.0016572584940569473,0.41897797445824125,0.37476977686267277
15,0.00172200210672723,0.7518624987151662,0.732982471443494,0.0014213864534577284,0.4206398141914577,0.3765580609234165
16,0.0013753499341889101,0.8332672334363967,0.8205810446761226,0.001404726302255966,0.4713432645011115,0.4311193824522831
17,0.002195044263594209,0.7100529465544558,0.6879917577053384,0.0011222600054339531,0.5089055646101173,0.4715396836565392
18,0.0010823395958406577,0.859398374559265,0.84870042479747,0.001087926228287146,0.5507031798430543,0.5165175522224171
19,0.0019558073069853377,0.7211970824437766,0.6999838169775422,0.0014957387207183888,0.4710794240602919,0.4308354671953142
20,0.0018043160295150562,0.7470931803931672,0.7278502702056908,0.0013688375483822083,0.5112623440205836,0.474075783239541
21,0.0016066162930451415,0.775418961910366,0.7583312742296329,0.0012405827363792617,0.5022667571143387,0.46439574950347307
22,0.0018274169501914554,0.7332865061447058,0.712993088133977,0.001184027294717348,0.5678552274709545,0.5349746469524401
23,0.0020830796194747044,0.7340762346135608,0.7138429046385055,0.001183722760149681,0.5133383864283256,0.47630978539569824
24,0.0018195944837863848,0.7400534552119609,0.720274913760697,0.001483192824543929,0.43255644173960783,0.3893813883937085
25,0.0017300381285709312,0.7573086432492503,0.7388429965399541,0.0012130442516238781,0.5071780041230975,0.46968067834985505
26,0.001522316706860802,0.7820024120075648,0.7654156390081404,0.0011922327569360242,0.46097383817258486,0.4199609780335425
27,0.0016863298899301748,0.7785554372779945,0.7617063944621897,0.0014575178088449073,0.4867728691630213,0.4477229787732513
28,0.0020232960437212197,0.741347406505609,0.7216673178701662,0.0013602612294659137,0.4301930393938067,0.386838161956379
29,0.0010154371263592136,0.8534020057912411,0.8422478105797052,0.001022111015473485,0.5856232799583475,0.5540946164769175
30,0.0017231339060184646,0.7561108400567261,0.7375540561479987,0.0012191002945756359,0.5284781287877511,0.49260146467377575
31,0.0019006485979526663,0.7303886857003836,0.7098747813514998,0.0012955715281200975,0.47727010353237886,0.43749717662723386
32,0.0018519992073109536,0.7015524032749072,0.6788444339588675,0.0011242514099446255,0.49095950127809707,0.45222815898403934
33,0.002021127516085837,0.740616236582951,0.7208805154533929,0.0012800794889850353,0.5608738229945772,0.5274620486572081
34,0.0013070106014452887,0.8249175342837636,0.8115960423270934,0.0013849462441988035,0.494354011190663,0.45588094682473523
35,0.0016093679338155197,0.7602997094551476,0.7420616438702132,0.0011994355397049285,0.4301886690350928,0.3868334590703717
36,0.001970760315701775,0.6989915081497027,0.6760886881176149,0.0011137843989791412,0.4598696600933332,0.41877278640478255
37,0.001417238717718753,0.8062997929699274,0.7915617337393783,0.001222419924290605,0.46710327056306045,0.42655678027981514
38,0.0012076160898384484,0.8359527697456446,0.8234709152697698,0.001144378941298783,0.523278237810527,0.48700592981784974
39,0.0013943657052556868,0.8217709277898435,0.8082100201216794,0.001719784354318614,0.4545798696476885,0.41308051190349093
40,0.0019747261257419967,0.6533350862736917,0.6269584080553857,0.0013490747038615739,0.4092541968798341,0.3643061466424302
41,0.0016627134599732226,0.7692937646680365,0.7517400293710392,0.0013941529629923667,0.47599962940561225,0.4361300359908219
42,0.002047139075521843,0.6790516758130815,0.6546316946249464,0.0014524126581165863,0.46565982749966217,0.42500351002681047
43,0.0013868752209135204,0.7973633067841706,0.7819452975177488,0.0010700069268941256,0.5440034128932558,0.5093080203960036
44,0.001288811435994229,0.834366352522095,0.8217637923879066,0.0013568409440683506,0.42496246695956985,0.3812096111847546
45,0.0014055631682671362,0.7989983704031969,0.7837047681512662,0.0012148169999247535,0.47811973958049925,0.43841145889640687
46,0.0017219197907135803,0.7755720186337307,0.7584959765732537,0.0016040454262300893,0.4581571166920857,0.41692994078822276
47,0.0018602623485645927,0.7369194840834499,0.7169024883071906,0.001417788069130547,0.48274161775215596,0.44338500171155915
48,0.001921306600718682,0.7018660466790313,0.6791819415350446,0.0011123711601390216,0.49423958451850747,0.4557578137753505
49,0.0011515090260049916,0.8558162353047416,0.8448457314692328,0.001305308944532301,0.5113638243515726,0.4741849849000619
50,0.0013989598142424287,0.8013121685063258,0.786194616110068,0.0012416152584096723,0.44989537899603205,0.40803959261529543
51,0.0015207538242229875,0.7785416243976744,0.7616915306018454,0.0011820453280930886,0.479435066742792,0.4398268652993088
52,0.0022124921149370134,0.6995770882826255,0.6767188232606515,0.0015255801094011087,0.39623303689317224,0.35029424622200067
53,0.001432071323536292,0.8008018822653827,0.7856455037420966,0.0011218331977196087,0.5577776110130725,0.5241302553292846
54,0.0015813560431016944,0.7510553005344316,0.7321138560098776,0.00151440216993551,0.48127150901846427,0.4418030368785648
55,0.0018465531077009089,0.7313737872437558,0.710934836273172,0.0013752360415723599,0.3880378173924979,0.3414754774114923
56,0.0014865996720988305,0.8092964421263859,0.7947863888099151,0.001497441669581559,0.4770097967115029,0.4372170638525955
57,0.0018116193945602278,0.780499161959736,0.7637980112392811,0.0013714559715837303,0.5157458044687169,0.47890037654785833
58,0.001898892121291076,0.7032738877046787,0.6806969008996,0.0013435293785252018,0.4728380938012764,0.432727948764417
59,0.0017339059910383046,0.7393427847321409,0.7195101705269777,0.0011860668803752093,0.5306723345611533,0.49496262088645837
60,0.0015506235128032954,0.7816170070296286,0.7650009097384046,0.001466471305386006,0.46280369377872055,0.42193006178362324
61,0.0017885921036094967,0.7626004855687516,0.7445374790359391,0.0015349984820531891,0.48865464389182667,0.44974793201403096
62,0.0013137777936485288,0.8118348950216994,0.7975179848603069,0.001309999304701971,0.4634159862505751,0.42258894172616246
63,0.002045839528966958,0.7424983992665535,0.7229058861672695,0.001609187902354204,0.4680018837722152,0.4275237662331447
64,0.001846995850794293,0.7584753136340341,0.7400984353235801,0.0013823105352280625,0.44384033815406365,0.4015238421440468
65,0.0016713009885449789,0.7757849210838205,0.7587250781228069,0.0011418982075792092,0.5011714458484304,0.46321709933689803
66,0.0009608174684244096,0.8601510386473251,0.8495103568052738,0.001405053158438628,0.5219459717590211,0.4855722956972075
67,0.001832793469425335,0.7583804040308832,0.7399963043375808,0.0014184362976207173,0.5219739675509484,0.485602421603738
68,0.0017471702039329165,0.7323365735873191,0.7119708780993976,0.0013230066638740877,0.5155702033352014,0.47871141445853194
69,0.0022330619617613825,0.6996441971850933,0.6767910382752635,0.0016409783887577265,0.4091231419599757,0.3641651201525826
70,0.0020570974868731225,0.7205353603455502,0.6992717464587987,0.001377272663738865,0.47558915936005397,0.4356883345287538
71,0.001625318607236429,0.7788265438854168,0.7619981287462638,0.0012634935425256877,0.4776972918507304,0.43795686840459036
72,0.0017891196755882755,0.7297600741755791,0.7091983406889384,0.0013450658020547808,0.528190791070243,0.4922922643038484
73,0.0011283637585995806,0.8499686916208351,0.8385532659832899,0.001226609703573436,0.4403677862870974,0.39778707437415917
74,0.0022595877425677486,0.6765156000514292,0.6519026565770814,0.0014418646190435312,0.40441055737818465,0.35909396935261184
75,0.0019479439464974199,0.7273911882240462,0.7066492134150064,0.0012530012412353712,0.4525033119517812,0.41084595525246026
76,0.0011253113113446661,0.8707023638010583,0.8608645001772257,0.0012968982920509512,0.5192089692254771,0.482627042970894
77,0.0014069923628101692,0.7971241459813324,0.7816879396973033,0.001296327925595618,0.49122317612003097,0.4525118960422073
78,0.0015547767390966026,0.7984541494765258,0.7831191391106094,0.0012207897065888683,0.5472643802135249,0.5128171047949888
79,0.0017172565785393496,0.7697727346706277,0.7522554427433928,0.001331385559221995,0.48199663473142007,0.44258333520011517
80,0.002050427438451781,0.6848405587673971,0.6608610360649165,0.0015692259698457287,0.4677523061568387,0.42725519901659825
81,0.001735956187377241,0.7589353594786286,0.7405934846563503,0.0013814034705676734,0.5019288554730295,0.46403213795467313
82,0.0017085567563148195,0.7373307250938652,0.7173450193944855,0.0014722743281958648,0.4359231079432927,0.39300421398245633
83,0.0015722421806535897,0.7710475433008877,0.7536272476824769,0.001322869748817114,0.5224356251509152,0.4860992053254415
84,0.00190000830849608,0.7002196589687291,0.6774102851946107,0.0013259880400099892,0.451982102762833,0.41028508884261383
85,0.0012582839935986244,0.8311558730411264,0.8183090372942556,0.0010508758078713314,0.5891770919272048,0.5579188271825357
86,0.0021154337343332525,0.7091442167156241,0.6870138853787694,0.0014201971809428883,0.46105277454582316,0.4200459204351793
87,0.0018874036614175162,0.7676679712262274,0.74999053425431,0.0013146765452816565,0.4369249998069096,0.3940823367487397
88,0.0017153880377270545,0.7764341059800448,0.7594236575220048,0.0011471238024907094,0.5314728215187146,0.49582401446035596
89,0.0016143480727414184,0.7660687757778306,0.7482696608913612,0.0013140110906295068,0.4356793130967105,0.39274186952798196
90,0.0015836044668637852,0.7549005506383094,0.7362516794912244,0.0013555175024233827,0.4596034232567522,0.41848629241759205
91,0.001256923900907547,0.8503553995000173,0.8389693972880621,0.0014980278203860695,0.3929392005168326,0.3467497918605047
92,0.0016917607228066843,0.7458130741339533,0.7264727645571888,0.0011418477237446246,0.49444792691802886,0.45598200831396585
93,0.001565878596126383,0.7929056774829528,0.7771485007696992,0.0012879547762805704,0.42123264664246096,0.3771960001913439
94,0.0014940499686868446,0.7728077976597765,0.7555214344382377,0.0011227354194695673,0.49914231144800014,0.46103357427556546
95,0.0014426695776719675,0.819648884852932,0.8059265173960899,0.0013563791336908644,0.5502513619260452,0.5160313568552009
96,0.0016459780589168562,0.7951374571758012,0.7795500897870036,0.0013042098140594678,0.5101759005659632,0.47290667560902566
97,0.0017437728737197714,0.7835900790738985,0.7671241068295213,0.0011038733576788904,0.5291288748857068,0.4933017240617933
98,0.0014099259903132026,0.8090803338447522,0.7945538375068529,0.0011687697025799864,0.5176921336597342,0.4809947960034098
99,0.0018333506686976238,0.7641272569373885,0.7461804177913202,0.0013069176569967364,0.4493466237991338,0.4074490843055897
100,0.0015123304911872498,0.7949987843719674,0.7794008657915736,0.0011735443920224118,0.5529144315352978,0.5188970513260271
